id,id_caller,id_receiver,start_date,duration,end_date,id_cellsite
97,36,86,1649237265,2705,1649239970,1
98,6,83,1650900667,1987,1650902654,26
99,15,64,1632111477,1227,1632112704,16
100,45,72,1636579251,2755,1636582006,36
101,46,83,1657913789,2191,1657915980,24
102,4,53,1660800861,4976,1660805837,37
103,23,64,1656403491,4636,1656408127,33
104,46,67,1634754417,1464,1634755881,37
105,35,81,1636661695,4517,1636666212,13
106,3,52,1645584243,2908,1645587151,48
107,34,67,1634439720,1557,1634441277,41
108,20,92,1630693726,440,1630694166,35
109,40,97,1656130553,835,1656131388,47
110,42,98,1649488591,2025,1649490616,18
111,17,96,1642627702,4268,1642631970,43
112,21,96,1655035257,3885,1655039142,26
113,5,72,1631040105,3600,1631043705,29
114,37,80,1636833119,2940,1636836059,22
115,28,77,1638583834,2298,1638586132,4
116,50,92,1659151546,4645,1659156191,25
117,27,72,1655528374,4436,1655532810,49
118,47,92,1655792521,334,1655792855,42
119,46,62,1635499707,3103,1635502810,42
120,21,70,1634481778,4238,1634486016,23
121,1,63,1649831064,4625,1649835689,37
122,6,82,1635085549,344,1635085893,10
123,25,70,1637351757,1401,1637353158,32
124,17,68,1629837082,2671,1629839753,14
125,35,64,1633147814,199,1633148013,44
126,16,66,1660630495,631,1660631126,23
127,20,85,1651148782,1656,1651150438,21
128,4,90,1641882311,4550,1641886861,26
129,10,55,1649790701,3466,1649794167,40
130,14,85,1638908981,3278,1638912259,20
131,33,82,1649271249,3509,1649274758,14
132,27,58,1654549738,4047,1654553785,10
133,49,79,1640536167,3615,1640539782,38
134,32,58,1658410387,1063,1658411450,15
135,31,64,1633047176,4507,1633051683,21
136,25,52,1649137337,3461,1649140798,28
137,40,69,1660589974,374,1660590348,14
138,6,59,1631825216,2962,1631828178,3
139,31,56,1642084294,2797,1642087091,21
140,42,63,1638675271,1407,1638676678,50
141,12,84,1633895849,3096,1633898945,34
142,49,99,1640355650,621,1640356271,27
143,46,81,1656490361,533,1656490894,35
144,11,76,1635647043,3697,1635650740,11
145,43,74,1655019242,2505,1655021747,38
146,28,85,1656456898,1085,1656457983,37
147,40,81,1634177113,4597,1634181710,7
148,44,97,1649432971,2436,1649435407,6
149,41,69,1653241901,1288,1653243189,21
150,7,70,1657551580,1398,1657552978,7
151,30,59,1652422377,1801,1652424178,20
152,37,98,1637284538,3228,1637287766,29
153,49,85,1641028525,1372,1641029897,26
154,27,57,1654545168,2773,1654547941,1
155,28,78,1636081662,622,1636082284,16
156,40,57,1646122867,807,1646123674,11
157,12,95,1639008791,4483,1639013274,44
158,11,99,1639010673,4869,1639015542,20
159,36,71,1639181855,2361,1639184216,42
160,11,56,1650149093,3789,1650152882,36
161,49,81,1633646606,1438,1633648044,6
162,47,84,1651683773,4559,1651688332,10
163,13,99,1649194803,1861,1649196664,48
164,50,92,1647689376,1618,1647690994,42
165,7,93,1652297683,1272,1652298955,13
166,34,52,1656783657,1607,1656785264,7
167,36,82,1649292628,3355,1649295983,42
168,12,64,1634782946,959,1634783905,32
169,6,56,1659507785,2412,1659510197,3
170,11,91,1636502551,1794,1636504345,29
171,45,75,1643582162,2542,1643584704,4
172,46,60,1629818429,2871,1629821300,11
173,30,64,1652117513,3913,1652121426,35
174,39,81,1661093868,2079,1661095947,34
175,24,87,1650443385,2127,1650445512,31
176,39,92,1634993630,477,1634994107,43
177,16,77,1654132388,4720,1654137108,25
178,14,71,1639507498,3478,1639510976,34
179,32,78,1654839325,905,1654840230,34
180,31,94,1639165577,552,1639166129,19
181,43,62,1646777829,2877,1646780706,26
182,12,75,1660240846,4480,1660245326,6
183,37,67,1637671743,2143,1637673886,44
184,42,88,1631178069,2184,1631180253,14
185,30,53,1649472946,383,1649473329,17
186,8,52,1652184685,994,1652185679,19
187,16,92,1632474972,4555,1632479527,20
188,11,84,1631831225,4991,1631836216,9
189,42,71,1645360511,2359,1645362870,39
190,15,85,1648978867,2902,1648981769,17
191,18,79,1651488819,467,1651489286,23
192,40,80,1635224121,466,1635224587,28
193,49,59,1648978149,4146,1648982295,24
194,44,76,1659615121,3376,1659618497,9
195,14,66,1644594872,184,1644595056,35
196,39,99,1643769747,1643,1643771390,20
197,31,59,1640257521,946,1640258467,1
198,20,71,1637811051,4507,1637815558,15
199,7,96,1660563202,643,1660563845,14
200,39,67,1636590193,846,1636591039,50
201,38,91,1648476482,3251,1648479733,40
202,23,60,1632562502,3393,1632565895,38
203,3,74,1647634479,1599,1647636078,13
204,28,62,1643577443,1643,1643579086,35
205,18,83,1655603737,659,1655604396,3
206,4,52,1632136581,1806,1632138387,23
207,48,63,1647723755,1384,1647725139,8
208,41,57,1657058526,1053,1657059579,12
209,22,71,1657841414,4569,1657845983,21
210,14,60,1653784007,3374,1653787381,39
211,29,76,1646160697,563,1646161260,16
212,49,54,1638354874,2283,1638357157,29
213,33,72,1646417555,1383,1646418938,26
214,24,74,1640871373,1647,1640873020,6
215,24,54,1642934368,4383,1642938751,35
216,34,98,1636662997,4694,1636667691,49
217,11,91,1646307226,1649,1646308875,26
218,14,86,1635738799,822,1635739621,13
219,16,73,1644533343,4672,1644538015,20
220,28,64,1643885156,4679,1643889835,27
221,29,54,1633269719,1846,1633271565,25
222,8,75,1644251975,3606,1644255581,40
223,45,75,1629881308,3162,1629884470,15
224,37,68,1646216981,4695,1646221676,19
225,50,72,1654561057,2869,1654563926,2
226,36,95,1653292546,4218,1653296764,5
227,34,99,1641662656,4297,1641666953,9
228,28,93,1637402417,3930,1637406347,39
229,6,52,1639263292,1968,1639265260,21
230,49,97,1648549461,1803,1648551264,21
231,45,73,1640061109,563,1640061672,3
232,37,52,1637434110,2596,1637436706,33
233,7,60,1638591755,4023,1638595778,8
234,12,83,1658263038,3478,1658266516,43
235,41,57,1636551473,4098,1636555571,8
236,16,69,1646321132,4549,1646325681,42
237,7,56,1632521678,784,1632522462,47
238,41,94,1656759498,1705,1656761203,32
239,15,74,1642200104,2874,1642202978,11
240,20,88,1642824007,2770,1642826777,44
241,32,63,1657202130,4603,1657206733,22
242,10,91,1639447593,3521,1639451114,17
243,13,89,1638974342,2800,1638977142,4
244,45,52,1649841694,1100,1649842794,30
245,14,52,1649091353,172,1649091525,42
246,28,86,1633599440,1596,1633601036,24
247,47,79,1634653256,667,1634653923,33
248,48,63,1642586293,2224,1642588517,12
249,24,52,1636646366,1091,1636647457,1
250,16,57,1633152137,2720,1633154857,49
